Time,QuatW,QuatX,QuatY,QuatZ,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatW2,QuatX2,QuatY2,QuatZ2,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2
1997,0.62,-0.06,-0.78,0.09,9.10,-1.16,-1.96,0.23,-0.22,0.02,0.59,0.03,-0.80,0.00,9.16,0.52,-2.71,0.24,-0.09,0.07
2017,0.61,-0.05,-0.78,0.09,9.10,-1.16,-1.96,0.23,-0.22,0.02,0.59,0.03,-0.80,0.01,9.16,0.52,-2.71,0.24,-0.09,0.07
2037,0.61,-0.05,-0.78,0.09,9.10,-1.16,-1.96,0.26,-0.35,-0.05,0.59,0.03,-0.80,0.01,9.16,0.52,-2.71,0.15,-0.05,0.03
2057,0.61,-0.05,-0.79,0.09,9.10,-1.16,-1.96,0.26,-0.35,-0.05,0.59,0.03,-0.81,0.01,9.16,0.52,-2.71,0.15,-0.05,0.03
2077,0.61,-0.05,-0.79,0.09,9.10,-1.16,-1.96,-0.02,-0.29,0.01,0.59,0.03,-0.81,0.01,9.16,0.52,-2.71,-0.12,-0.11,0.05
2097,0.60,-0.05,-0.79,0.09,9.10,-1.16,-1.96,-0.02,-0.29,0.01,0.59,0.02,-0.81,0.00,9.16,0.52,-2.71,-0.12,-0.11,0.05
2117,0.60,-0.05,-0.79,0.09,9.10,-1.16,-1.96,-0.30,-0.16,0.03,0.59,0.02,-0.81,0.00,9.16,0.52,-2.71,-0.18,-0.22,0.06
2137,0.60,-0.06,-0.79,0.08,9.10,-1.16,-1.96,-0.30,-0.16,0.03,0.58,0.02,-0.81,-0.00,9.16,0.52,-2.71,-0.18,-0.22,0.06
2157,0.60,-0.06,-0.79,0.08,9.10,-1.16,-1.96,-0.32,-0.24,0.10,0.58,0.02,-0.81,-0.00,9.16,0.52,-2.71,-0.22,-0.19,0.04
2177,0.59,-0.06,-0.80,0.08,9.10,-1.16,-1.96,-0.32,-0.24,0.10,0.58,0.02,-0.81,0.00,9.16,0.52,-2.71,-0.22,-0.19,0.04
2197,0.59,-0.06,-0.80,0.08,9.10,-1.16,-1.96,-0.10,-0.31,-0.02,0.58,0.02,-0.81,0.00,9.16,0.52,-2.71,0.29,-0.21,-0.04
2217,0.59,-0.06,-0.80,0.08,9.10,-1.16,-1.96,-0.10,-0.31,-0.02,0.58,0.03,-0.82,0.00,9.16,0.52,-2.71,0.29,-0.21,-0.04
2237,0.59,-0.06,-0.80,0.08,9.10,-1.16,-1.96,0.05,-0.33,-0.07,0.58,0.03,-0.82,0.00,9.16,0.52,-2.71,-0.00,-0.32,-0.04
2257,0.58,-0.06,-0.81,0.08,9.10,-1.16,-1.96,0.05,-0.33,-0.07,0.57,0.03,-0.82,0.01,9.16,0.52,-2.71,-0.00,-0.32,-0.04
2277,0.58,-0.06,-0.81,0.08,9.10,-1.16,-1.96,-0.07,-0.29,-0.06,0.57,0.03,-0.82,0.01,9.16,0.52,-2.71,0.31,-0.36,-0.09
2297,0.58,-0.06,-0.81,0.08,9.10,-1.16,-1.96,-0.07,-0.29,-0.06,0.56,0.03,-0.82,0.00,9.16,0.52,-2.71,0.31,-0.36,-0.09
2317,0.58,-0.06,-0.81,0.08,9.10,-1.16,-1.96,-0.36,-0.45,0.02,0.56,0.03,-0.82,0.00,9.16,0.52,-2.71,-0.11,-0.37,-0.09
2337,0.57,-0.06,-0.82,0.07,9.10,-1.16,-1.96,-0.36,-0.45,0.02,0.56,0.03,-0.83,0.00,9.16,0.52,-2.71,-0.11,-0.37,-0.09
2357,0.57,-0.06,-0.82,0.07,9.10,-1.16,-1.96,-0.42,-0.49,-0.05,0.56,0.03,-0.83,0.00,9.16,0.52,-2.71,-0.11,-0.36,-0.10
2377,0.56,-0.07,-0.82,0.07,9.10,-1.16,-1.96,-0.42,-0.49,-0.05,0.55,0.03,-0.83,-0.00,9.16,0.52,-2.71,-0.11,-0.36,-0.10
2397,0.56,-0.07,-0.82,0.07,9.10,-1.16,-1.96,-0.27,-0.60,-0.05,0.55,0.03,-0.83,-0.00,9.16,0.52,-2.71,-0.18,-0.42,-0.09
2417,0.55,-0.07,-0.83,0.06,9.10,-1.16,-1.96,-0.27,-0.60,-0.05,0.54,0.03,-0.84,-0.01,9.16,0.52,-2.71,-0.18,-0.42,-0.09
2437,0.55,-0.07,-0.83,0.06,9.10,-1.16,-1.96,-0.34,-0.52,-0.11,0.54,0.03,-0.84,-0.01,9.16,0.52,-2.71,-0.17,-0.49,-0.10
2457,0.54,-0.07,-0.84,0.05,9.10,-1.16,-1.96,-0.34,-0.52,-0.11,0.53,0.03,-0.84,-0.02,9.16,0.52,-2.71,-0.17,-0.49,-0.10
2477,0.54,-0.07,-0.84,0.05,9.10,-1.16,-1.96,-0.66,-0.64,-0.03,0.53,0.03,-0.84,-0.02,9.16,0.52,-2.71,-0.45,-0.57,-0.13
2497,0.53,-0.08,-0.84,0.04,9.10,-1.16,-1.96,-0.66,-0.64,-0.03,0.52,0.02,-0.85,-0.03,9.16,0.52,-2.71,-0.45,-0.57,-0.13
2517,0.53,-0.08,-0.84,0.04,9.10,-1.16,-1.96,-0.82,-0.46,-0.04,0.52,0.02,-0.85,-0.03,9.55,0.98,-2.78,-0.45,-0.57,-0.13
2537,0.52,-0.09,-0.85,0.02,9.10,-1.16,-1.96,-0.82,-0.46,-0.04,0.51,0.02,-0.86,-0.04,9.55,0.98,-2.78,-0.45,-0.57,-0.13
2557,0.52,-0.09,-0.85,0.02,9.10,-1.16,-1.96,-0.71,-0.36,-0.10,0.51,0.02,-0.86,-0.04,9.55,0.98,-2.78,-0.07,-0.93,-0.22
2577,0.52,-0.08,-0.85,0.02,9.10,-1.16,-1.96,-0.71,-0.36,-0.10,0.49,0.02,-0.87,-0.04,9.55,0.98,-2.78,-0.07,-0.93,-0.22
2597,0.52,-0.08,-0.85,0.02,9.10,-1.16,-1.96,-0.22,0.34,-0.29,0.49,0.02,-0.87,-0.04,9.55,0.98,-2.78,-0.18,-1.24,-0.14
2617,0.54,-0.08,-0.84,0.01,9.10,-1.16,-1.96,-0.22,0.34,-0.29,0.46,0.02,-0.89,-0.05,9.55,0.98,-2.78,-0.18,-1.24,-0.14
2637,0.54,-0.08,-0.84,0.01,9.10,-1.16,-1.96,-0.18,1.09,-0.45,0.46,0.02,-0.89,-0.05,9.55,0.98,-2.78,-0.17,-1.50,-0.15
2657,0.56,-0.07,-0.82,0.00,9.10,-1.16,-1.96,-0.18,1.09,-0.45,0.43,0.02,-0.90,-0.06,9.55,0.98,-2.78,-0.17,-1.50,-0.15
2677,0.56,-0.07,-0.82,0.00,9.10,-1.16,-1.96,0.01,1.35,-0.43,0.43,0.02,-0.90,-0.06,9.55,0.98,-2.78,-0.50,-1.79,-0.01
2697,0.59,-0.07,-0.80,-0.01,9.10,-1.16,-1.96,0.01,1.35,-0.43,0.39,0.01,-0.92,-0.07,9.55,0.98,-2.78,-0.50,-1.79,-0.01
2717,0.59,-0.07,-0.80,-0.01,9.10,-1.16,-1.96,-0.09,1.80,-0.27,0.39,0.01,-0.92,-0.07,9.55,0.98,-2.78,-0.72,-1.98,0.10
2737,0.62,-0.07,-0.78,-0.01,9.10,-1.16,-1.96,-0.09,1.80,-0.27,0.36,-0.00,-0.93,-0.07,9.55,0.98,-2.78,-0.72,-1.98,0.10
2757,0.62,-0.07,-0.78,-0.01,9.10,-1.16,-1.96,-0.14,1.92,0.12,0.36,-0.00,-0.93,-0.07,9.55,0.98,-2.78,-0.16,-1.76,0.13
2777,0.65,-0.07,-0.76,-0.01,9.10,-1.16,-1.96,-0.14,1.92,0.12,0.34,-0.01,-0.94,-0.08,9.55,0.98,-2.78,-0.16,-1.76,0.13
2797,0.65,-0.07,-0.76,-0.01,9.10,-1.16,-1.96,0.38,1.92,0.15,0.34,-0.01,-0.94,-0.08,9.55,0.98,-2.78,-0.85,-0.99,0.22
2817,0.68,-0.06,-0.73,0.01,9.10,-1.16,-1.96,0.38,1.92,0.15,0.34,-0.00,-0.94,-0.06,9.55,0.98,-2.78,-0.85,-0.99,0.22
2837,0.68,-0.06,-0.73,0.01,9.10,-1.16,-1.96,0.91,1.75,0.31,0.34,-0.00,-0.94,-0.06,9.55,0.98,-2.78,1.46,0.38,0.18
2857,0.70,-0.05,-0.71,0.03,9.10,-1.16,-1.96,0.91,1.75,0.31,0.37,0.00,-0.93,-0.03,9.55,0.98,-2.78,1.46,0.38,0.18
2877,0.70,-0.05,-0.71,0.03,9.10,-1.16,-1.96,1.35,1.59,0.12,0.37,0.00,-0.93,-0.03,9.55,0.98,-2.78,1.40,1.42,0.21
2897,0.73,-0.03,-0.69,0.04,9.10,-1.16,-1.96,1.35,1.59,0.12,0.41,0.00,-0.91,-0.03,9.55,0.98,-2.78,1.40,1.42,0.21
2917,0.73,-0.03,-0.69,0.04,9.10,-1.16,-1.96,1.12,1.53,0.21,0.41,0.00,-0.91,-0.03,9.55,0.98,-2.78,-0.29,2.24,0.15
2937,0.74,-0.03,-0.67,0.06,9.10,-1.16,-1.96,1.12,1.53,0.21,0.46,-0.00,-0.89,-0.03,9.55,0.98,-2.78,-0.29,2.24,0.15
2957,0.74,-0.03,-0.67,0.06,9.10,-1.16,-1.96,1.00,1.20,0.28,0.46,-0.00,-0.89,-0.03,9.55,0.98,-2.78,-0.09,3.05,0.09
2977,0.76,-0.01,-0.65,0.08,9.10,-1.16,-1.96,1.00,1.20,0.28,0.52,0.01,-0.85,-0.02,9.55,0.98,-2.78,-0.09,3.05,0.09
2997,0.76,-0.01,-0.65,0.08,9.10,-1.16,-1.96,1.00,0.91,0.15,0.52,0.01,-0.85,-0.02,9.55,0.98,-2.78,0.94,3.70,-0.27
3017,0.76,-0.01,-0.64,0.08,9.10,-1.16,-1.96,1.00,0.91,0.15,0.59,0.02,-0.81,-0.02,9.55,0.98,-2.78,0.94,3.70,-0.27
3037,0.76,-0.01,-0.64,0.08,9.10,-1.16,-1.96,0.54,0.59,0.03,0.59,0.02,-0.81,-0.02,9.55,0.98,-2.78,-0.33,3.88,-0.39
3057,0.77,0.00,-0.63,0.09,9.10,-1.16,-1.96,0.54,0.59,0.03,0.65,0.02,-0.76,-0.03,9.55,0.98,-2.78,-0.33,3.88,-0.39
3077,0.77,0.00,-0.63,0.09,9.10,-1.16,-1.96,0.52,0.40,0.02,0.65,0.02,-0.76,-0.03,9.55,0.98,-2.78,-0.63,3.94,-0.37
3097,0.77,0.01,-0.63,0.10,9.10,-1.16,-1.96,0.52,0.40,0.02,0.70,0.03,-0.71,-0.04,9.55,0.98,-2.78,-0.63,3.94,-0.37
3117,0.77,0.01,-0.63,0.10,9.10,-1.16,-1.96,0.73,0.35,-0.02,0.70,0.03,-0.71,-0.04,9.55,0.98,-2.78,-0.06,3.70,-0.51
3137,0.77,0.01,-0.62,0.10,9.10,-1.16,-1.96,0.73,0.35,-0.02,0.74,0.03,-0.67,-0.05,9.55,0.98,-2.78,-0.06,3.70,-0.51
3157,0.77,0.01,-0.62,0.10,9.10,-1.16,-1.96,0.07,0.04,0.17,0.74,0.03,-0.67,-0.05,9.55,0.98,-2.78,-0.02,2.64,-0.44
3177,0.77,0.00,-0.62,0.11,9.10,-1.16,-1.96,0.07,0.04,0.17,0.76,0.04,-0.65,-0.05,9.55,0.98,-2.78,-0.02,2.64,-0.44
3197,0.77,0.00,-0.62,0.11,9.10,-1.16,-1.96,-0.25,0.05,0.40,0.76,0.04,-0.65,-0.05,9.55,0.98,-2.78,0.04,1.04,-0.05
3217,0.78,0.00,-0.62,0.11,9.10,-1.16,-1.96,-0.25,0.05,0.40,0.75,0.04,-0.66,-0.04,9.55,0.98,-2.78,0.04,1.04,-0.05
3237,0.78,0.00,-0.62,0.11,9.10,-1.16,-1.96,0.17,0.17,0.28,0.75,0.04,-0.66,-0.04,9.55,0.98,-2.78,0.59,-0.71,0.30
3257,0.77,-0.00,-0.62,0.12,9.10,-1.16,-1.96,0.17,0.17,0.28,0.73,0.05,-0.68,-0.02,9.55,0.98,-2.78,0.59,-0.71,0.30
3277,0.77,-0.00,-0.62,0.12,9.10,-1.16,-1.96,0.09,-0.52,0.50,0.73,0.05,-0.68,-0.02,9.55,0.98,-2.78,0.65,-1.38,0.21
3297,0.77,-0.00,-0.62,0.13,9.10,-1.16,-1.96,0.09,-0.52,0.50,0.71,0.08,-0.70,0.00,9.55,0.98,-2.78,0.65,-1.38,0.21
3317,0.77,-0.00,-0.62,0.13,7.61,3.98,2.10,0.09,-0.52,0.50,0.71,0.08,-0.70,0.00,7.74,1.13,-2.55,0.65,-1.38,0.21
3337,0.75,-0.00,-0.65,0.13,7.61,3.98,2.10,0.09,-0.52,0.50,0.69,0.08,-0.72,0.02,7.74,1.13,-2.55,0.65,-1.38,0.21
3357,0.75,-0.00,-0.65,0.13,7.61,3.98,2.10,-1.54,-1.79,-0.23,0.69,0.08,-0.72,0.02,7.74,1.13,-2.55,0.97,-1.39,0.46
3377,0.74,-0.02,-0.66,0.13,7.61,3.98,2.10,-1.54,-1.79,-0.23,0.67,0.08,-0.74,0.03,7.74,1.13,-2.55,0.97,-1.39,0.46
3397,0.74,-0.02,-0.66,0.13,7.61,3.98,2.10,-0.54,-1.51,1.04,0.67,0.08,-0.74,0.03,7.74,1.13,-2.55,0.42,-1.15,0.45
3417,0.72,-0.02,-0.68,0.13,7.61,3.98,2.10,-0.54,-1.51,1.04,0.66,0.08,-0.75,0.04,7.74,1.13,-2.55,0.42,-1.15,0.45
3437,0.72,-0.02,-0.68,0.13,9.18,-2.15,-0.23,-0.54,-1.51,1.04,0.66,0.08,-0.75,0.04,7.74,1.13,-2.55,0.47,-0.84,0.30
3457,0.70,-0.02,-0.70,0.13,9.18,-2.15,-0.23,-0.54,-1.51,1.04,0.65,0.07,-0.76,0.03,7.74,1.13,-2.55,0.47,-0.84,0.30
3477,0.70,-0.02,-0.70,0.13,9.18,-2.15,-0.23,-0.54,-1.34,0.02,0.65,0.07,-0.76,0.03,7.74,1.13,-2.55,-0.72,-0.78,0.32
3497,0.68,-0.04,-0.72,0.11,9.18,-2.15,-0.23,-0.54,-1.34,0.02,0.64,0.05,-0.77,0.02,7.74,1.13,-2.55,-0.72,-0.78,0.32
3517,0.68,-0.04,-0.72,0.11,9.57,-1.42,-1.54,-0.54,-1.34,0.02,0.64,0.05,-0.77,0.02,7.74,1.13,-2.55,-0.96,-0.62,0.23
3537,0.66,-0.06,-0.74,0.10,9.57,-1.42,-1.54,-0.54,-1.34,0.02,0.63,0.04,-0.78,0.00,7.74,1.13,-2.55,-0.96,-0.62,0.23
3557,0.66,-0.06,-0.74,0.10,8.80,-4.18,-0.93,-0.54,-1.34,0.02,0.63,0.04,-0.78,0.00,7.74,1.13,-2.55,-1.22,-0.65,0.20
3577,0.64,-0.07,-0.76,0.08,8.80,-4.18,-0.93,-0.54,-1.34,0.02,0.62,0.02,-0.79,-0.01,7.74,1.13,-2.55,-1.22,-0.65,0.20
3597,0.64,-0.07,-0.76,0.08,8.80,-4.18,-0.93,-0.86,-1.43,0.01,0.62,0.02,-0.79,-0.01,7.74,1.13,-2.55,-0.82,-0.69,0.09
3617,0.61,-0.07,-0.78,0.08,8.80,-4.18,-0.93,-0.86,-1.43,0.01,0.61,0.02,-0.79,-0.02,7.74,1.13,-2.55,-0.82,-0.69,0.09
3637,0.61,-0.07,-0.78,0.08,8.76,-2.19,-1.12,-0.86,-1.43,0.01,0.61,0.02,-0.79,-0.02,7.74,1.13,-2.55,-0.53,-0.73,0.04
3657,0.59,-0.08,-0.80,0.07,8.76,-2.19,-1.12,-0.86,-1.43,0.01,0.59,0.01,-0.80,-0.02,7.74,1.13,-2.55,-0.53,-0.73,0.04
3677,0.59,-0.08,-0.80,0.07,8.76,-2.19,-1.12,-0.75,-1.53,0.09,0.59,0.01,-0.80,-0.02,7.74,1.13,-2.55,-0.08,-0.82,0.00
3697,0.56,-0.09,-0.82,0.07,8.76,-2.19,-1.12,-0.75,-1.53,0.09,0.58,0.01,-0.81,-0.02,7.74,1.13,-2.55,-0.08,-0.82,0.00
3717,0.56,-0.09,-0.82,0.07,8.88,-1.84,-1.57,-0.75,-1.53,0.09,0.58,0.01,-0.81,-0.02,7.74,1.13,-2.55,-0.07,-1.03,0.07
3737,0.54,-0.09,-0.83,0.06,8.88,-1.84,-1.57,-0.75,-1.53,0.09,0.56,0.01,-0.83,-0.02,7.74,1.13,-2.55,-0.07,-1.03,0.07
3757,0.54,-0.09,-0.83,0.06,8.95,-1.92,-2.42,-0.75,-1.53,0.09,0.56,0.01,-0.83,-0.02,9.43,2.20,-1.79,-0.07,-1.03,0.07
3777,0.52,-0.10,-0.85,0.05,8.95,-1.92,-2.42,-0.75,-1.53,0.09,0.54,0.01,-0.84,-0.01,9.43,2.20,-1.79,-0.07,-1.03,0.07
3797,0.52,-0.10,-0.85,0.05,8.95,-1.92,-2.42,-0.66,-1.10,0.01,0.54,0.01,-0.84,-0.01,9.43,2.20,-1.79,0.43,-1.42,0.01
3817,0.51,-0.11,-0.85,0.04,8.95,-1.92,-2.42,-0.66,-1.10,0.01,0.51,0.02,-0.86,-0.01,9.43,2.20,-1.79,0.43,-1.42,0.01
3837,0.51,-0.11,-0.85,0.04,12.63,-2.61,-1.04,-0.66,-1.10,0.01,0.51,0.02,-0.86,-0.01,9.43,2.20,-1.79,0.38,-1.93,0.14
3857,0.52,-0.11,-0.85,0.02,12.63,-2.61,-1.04,-0.66,-1.10,0.01,0.47,0.01,-0.89,-0.00,9.43,2.20,-1.79,0.38,-1.93,0.14
3877,0.52,-0.11,-0.85,0.02,11.52,-0.04,1.14,-0.66,-1.10,0.01,0.47,0.01,-0.89,-0.00,9.43,2.20,-1.79,0.01,-2.40,0.29
3897,0.53,-0.12,-0.84,0.00,11.52,-0.04,1.14,-0.66,-1.10,0.01,0.42,-0.00,-0.91,-0.01,9.43,2.20,-1.79,0.01,-2.40,0.29
3917,0.53,-0.12,-0.84,0.00,11.52,-0.04,1.14,-0.93,1.14,-0.23,0.42,-0.00,-0.91,-0.01,9.43,2.20,-1.79,-0.56,-2.92,0.56
3937,0.58,-0.11,-0.81,-0.01,11.52,-0.04,1.14,-0.93,1.14,-0.23,0.36,-0.02,-0.93,-0.02,9.43,2.20,-1.79,-0.56,-2.92,0.56
3957,0.58,-0.11,-0.81,-0.01,16.45,-2.27,4.78,-0.93,1.14,-0.23,0.36,-0.02,-0.93,-0.02,9.43,2.20,-1.79,-0.84,-3.12,0.46
3977,0.62,-0.11,-0.78,-0.03,16.45,-2.27,4.78,-0.93,1.14,-0.23,0.30,-0.03,-0.95,-0.03,9.43,2.20,-1.79,-0.84,-3.12,0.46
3997,0.62,-0.11,-0.78,-0.03,14.70,-5.71,-7.48,-0.93,1.14,-0.23,0.30,-0.03,-0.95,-0.03,9.43,2.20,-1.79,-0.71,-2.79,0.20
4017,0.66,-0.10,-0.74,-0.01,14.70,-5.71,-7.48,-0.93,1.14,-0.23,0.28,-0.02,-0.96,-0.01,9.43,2.20,-1.79,-0.71,-2.79,0.20
4037,0.66,-0.10,-0.74,-0.01,15.12,-7.32,-4.72,-0.93,1.14,-0.23,0.28,-0.02,-0.96,-0.01,9.43,2.20,-1.79,1.04,-1.10,-0.27
4057,0.70,-0.08,-0.71,-0.00,15.12,-7.32,-4.72,-0.93,1.14,-0.23,0.29,-0.02,-0.96,-0.02,9.43,2.20,-1.79,1.04,-1.10,-0.27
4077,0.70,-0.08,-0.71,-0.00,15.12,-7.32,-4.72,1.01,2.51,-0.08,0.29,-0.02,-0.96,-0.02,9.43,2.20,-1.79,-0.22,0.86,0.03
4097,0.73,-0.08,-0.68,0.01,15.12,-7.32,-4.72,1.01,2.51,-0.08,0.34,-0.02,-0.94,-0.01,9.43,2.20,-1.79,-0.22,0.86,0.03
4117,0.73,-0.08,-0.68,0.01,7.15,-1.16,-4.14,1.01,2.51,-0.08,0.34,-0.02,-0.94,-0.01,9.43,2.20,-1.79,0.75,2.66,-0.12
4137,0.76,-0.07,-0.65,0.02,7.15,-1.16,-4.14,1.01,2.51,-0.08,0.41,-0.02,-0.91,-0.02,9.43,2.20,-1.79,0.75,2.66,-0.12
4157,0.76,-0.07,-0.65,0.02,6.08,-1.88,-3.84,1.01,2.51,-0.08,0.41,-0.02,-0.91,-0.02,5.71,0.06,-3.55,0.75,2.66,-0.12
4177,0.77,-0.05,-0.63,0.05,6.08,-1.88,-3.84,1.01,2.51,-0.08,0.50,-0.01,-0.87,-0.02,5.71,0.06,-3.55,0.75,2.66,-0.12
4197,0.77,-0.05,-0.63,0.05,6.08,-1.88,-3.84,1.80,0.98,0.31,0.50,-0.01,-0.87,-0.02,5.71,0.06,-3.55,-0.09,4.99,-0.40
4217,0.78,-0.03,-0.63,0.07,6.08,-1.88,-3.84,1.80,0.98,0.31,0.58,-0.01,-0.81,-0.04,5.71,0.06,-3.55,-0.09,4.99,-0.40
4237,0.78,-0.03,-0.63,0.07,4.93,0.61,-4.56,1.80,0.98,0.31,0.58,-0.01,-0.81,-0.04,5.71,0.06,-3.55,-1.12,5.38,-0.47
4257,0.78,-0.03,-0.62,0.08,4.93,0.61,-4.56,1.80,0.98,0.31,0.67,-0.02,-0.74,-0.07,5.71,0.06,-3.55,-1.12,5.38,-0.47
4277,0.78,-0.03,-0.62,0.08,6.27,0.49,-0.43,1.80,0.98,0.31,0.67,-0.02,-0.74,-0.07,5.71,0.06,-3.55,-1.65,5.50,-0.09
4297,0.78,-0.03,-0.62,0.09,6.27,0.49,-0.43,1.80,0.98,0.31,0.74,0.00,-0.67,-0.07,5.71,0.06,-3.55,-1.65,5.50,-0.09
4317,0.78,-0.03,-0.62,0.09,7.69,-1.20,1.41,1.80,0.98,0.31,0.74,0.00,-0.67,-0.07,5.71,0.06,-3.55,0.86,5.04,-0.52
4337,0.77,-0.03,-0.62,0.10,7.69,-1.20,1.41,1.80,0.98,0.31,0.78,0.01,-0.62,-0.07,5.71,0.06,-3.55,0.86,5.04,-0.52
4357,0.77,-0.03,-0.62,0.10,12.06,-1.73,8.92,1.80,0.98,0.31,0.78,0.01,-0.62,-0.07,5.71,0.06,-3.55,-0.02,3.00,-0.21
4377,0.77,-0.02,-0.62,0.11,12.06,-1.73,8.92,1.80,0.98,0.31,0.78,0.01,-0.62,-0.06,5.71,0.06,-3.55,-0.02,3.00,-0.21
4397,0.77,-0.02,-0.62,0.11,12.71,-0.43,7.46,1.80,0.98,0.31,0.78,0.01,-0.62,-0.06,5.71,0.06,-3.55,0.37,-0.24,0.29
4417,0.78,-0.01,-0.62,0.12,12.71,-0.43,7.46,1.80,0.98,0.31,0.76,0.04,-0.65,-0.04,5.71,0.06,-3.55,0.37,-0.24,0.29
4437,0.78,-0.01,-0.62,0.12,10.98,-4.26,3.98,1.80,0.98,0.31,0.76,0.04,-0.65,-0.04,5.71,0.06,-3.55,1.84,-2.36,0.22
4457,0.77,-0.01,-0.63,0.13,10.98,-4.26,3.98,1.80,0.98,0.31,0.73,0.08,-0.68,-0.00,5.71,0.06,-3.55,1.84,-2.36,0.22
4477,0.77,-0.01,-0.63,0.13,18.53,-2.69,-0.73,1.80,0.98,0.31,0.73,0.08,-0.68,-0.00,5.71,0.06,-3.55,2.89,-1.86,0.09
4497,0.76,0.00,-0.64,0.14,18.53,-2.69,-0.73,1.80,0.98,0.31,0.70,0.09,-0.70,0.02,5.71,0.06,-3.55,2.89,-1.86,0.09
4517,0.76,0.00,-0.64,0.14,4.58,1.22,-9.70,1.80,0.98,0.31,0.70,0.09,-0.70,0.02,5.71,0.06,-3.55,1.34,-1.78,0.51
4537,0.74,-0.03,-0.66,0.13,4.58,1.22,-9.70,1.80,0.98,0.31,0.68,0.09,-0.72,0.02,5.71,0.06,-3.55,1.34,-1.78,0.51
4557,0.74,-0.03,-0.66,0.13,9.48,-6.98,-2.99,1.80,0.98,0.31,0.68,0.09,-0.72,0.02,10.20,-1.21,-4.74,1.34,-1.78,0.51
4577,0.72,-0.02,-0.68,0.14,9.48,-6.98,-2.99,1.80,0.98,0.31,0.67,0.09,-0.74,0.03,10.20,-1.21,-4.74,1.34,-1.78,0.51
4597,0.72,-0.02,-0.68,0.14,8.22,-2.65,-1.38,1.80,0.98,0.31,0.67,0.09,-0.74,0.03,10.20,-1.21,-4.74,0.76,-1.06,0.21
4617,0.70,-0.01,-0.70,0.14,8.22,-2.65,-1.38,1.80,0.98,0.31,0.65,0.09,-0.75,0.04,10.20,-1.21,-4.74,0.76,-1.06,0.21
